DQ,RL,DT,DP,LT,DB,UC,ET,LC,SW
C,2,Enhacement,Multi,3GL,Y,Y,12,477,7135
B,1,Enhacement,PC,App Generator,Y,N,19,670,13750
B,4,Enhacement,Mid Range,4GL,Y,N,1,401,953
B,3,Re-Development,Mid Range,3GL,N,N,3,913,8004
A,3,Enhacement,PC,4GL,N,N,14,919,3172
C,3,Re-Development,Mid Range,App Generator,N,N,14,1153,17360
B,3,Re-Development,MF,App Generator,Y,Y,12,153,3325
B,3,Re-Development,Multi,3GL,Y,N,18,177,18220
D,3,New Development,Mid Range,4GL,N,N,17,256,11024
D,4,New Development,PC,4GL,N,Y,1,1003,7249
D,4,Re-Development,Multi,App Generator,N,N,17,631,8258
B,4,New Development,MF,3GL,Y,Y,13,1148,4809
B,4,Enhacement,PC,App Generator,N,N,5,145,4664
A,4,New Development,Multi,3GL,N,N,3,777,9779
C,2,Enhacement,MF,4GL,N,N,7,1391,11521
B,4,New Development,Multi,App Generator,Y,Y,18,576,13374
B,1,Enhacement,Mid Range,3GL,Y,N,14,1101,1599
A,2,New Development,Mid Range,4GL,N,Y,0,451,10202
C,1,Enhacement,PC,App Generator,N,Y,17,552,18341
B,2,Enhacement,PC,4GL,N,N,12,415,4414
D,3,Re-Development,PC,4GL,N,Y,1,305,15821
B,3,Re-Development,MF,App Generator,N,Y,3,312,13988
C,2,Enhacement,MF,4GL,Y,N,20,908,17042
A,3,Enhacement,Mid Range,3GL,N,N,1,318,10079
B,4,New Development,MF,App Generator,Y,Y,8,558,7059
B,2,Enhacement,PC,3GL,Y,N,2,1285,4485
C,1,Enhacement,PC,App Generator,Y,Y,7,975,3012
A,1,Enhacement,Mid Range,3GL,N,Y,13,1175,4911
C,1,Re-Development,Multi,4GL,Y,N,16,735,19955
B,2,Enhacement,Mid Range,App Generator,Y,N,1,1097,7403
D,1,Re-Development,Mid Range,4GL,Y,Y,3,1449,11085
D,2,New Development,MF,4GL,N,N,12,245,11708
A,4,Re-Development,Multi,3GL,Y,N,17,736,9989
B,2,Re-Development,Multi,4GL,N,Y,16,242,2881
A,3,New Development,Mid Range,App Generator,Y,Y,5,432,4777
C,1,Re-Development,Mid Range,4GL,Y,N,3,824,6569
D,2,New Development,MF,3GL,N,Y,11,428,17340
D,4,Enhacement,Multi,App Generator,N,N,20,203,8084
C,3,Enhacement,Multi,App Generator,Y,N,9,96,11215
A,3,Re-Development,PC,4GL,Y,Y,18,720,6496
C,3,Enhacement,Multi,App Generator,N,Y,1,864,7510
C,1,New Development,Mid Range,3GL,Y,Y,10,925,12908
D,4,New Development,Multi,3GL,N,Y,20,43,11555
B,3,Enhacement,PC,4GL,Y,N,11,1004,14499
A,3,Enhacement,Multi,App Generator,Y,N,12,1215,8056
C,4,Re-Development,MF,3GL,Y,N,14,319,3586
C,3,Enhacement,Mid Range,3GL,N,Y,15,1445,10227
A,1,Re-Development,PC,App Generator,Y,N,9,1058,4991
C,3,New Development,Multi,3GL,Y,Y,16,613,14236
A,3,Re-Development,Multi,App Generator,N,N,18,727,2772
D,2,Enhacement,MF,App Generator,N,N,17,1239,9421
A,3,New Development,PC,4GL,Y,N,17,965,1252
D,4,Enhacement,MF,App Generator,N,Y,19,593,17156
A,1,Re-Development,Multi,4GL,N,N,3,583,6022
D,4,Re-Development,Mid Range,4GL,Y,N,4,1101,19612
A,2,New Development,MF,4GL,N,Y,16,595,10435
B,2,Enhacement,PC,4GL,Y,N,11,544,9861
C,1,New Development,Mid Range,App Generator,Y,N,15,1472,6873
A,3,New Development,Mid Range,3GL,N,N,14,704,13838
A,1,Re-Development,Mid Range,3GL,N,Y,17,726,10106
C,4,Re-Development,MF,App Generator,N,Y,3,1040,4121
A,4,Enhacement,MF,3GL,Y,N,16,569,8771
A,1,Enhacement,MF,3GL,Y,N,8,1463,11206
B,2,Re-Development,MF,3GL,N,N,2,247,3094
D,2,New Development,Mid Range,3GL,N,N,6,1308,8889
A,2,New Development,MF,3GL,Y,N,8,1114,9417
C,3,New Development,Mid Range,3GL,N,Y,15,1031,9266
B,3,New Development,Multi,App Generator,N,N,7,418,4192
D,2,New Development,MF,4GL,Y,Y,4,43,17803
A,1,Enhacement,Multi,3GL,N,N,7,1475,15534
A,4,Enhacement,PC,4GL,Y,N,3,836,3399
A,2,New Development,Mid Range,3GL,Y,Y,17,835,11136
C,1,New Development,Multi,3GL,N,Y,20,1118,12690
D,1,New Development,MF,4GL,N,N,17,231,6587
D,2,Re-Development,Mid Range,3GL,N,N,17,721,8889
C,3,Re-Development,Mid Range,App Generator,Y,Y,12,693,14328
A,2,Re-Development,PC,3GL,Y,N,3,1209,14080
A,2,Re-Development,PC,4GL,N,Y,6,1061,4872
A,3,Re-Development,Mid Range,App Generator,Y,N,17,483,18715
C,1,Enhacement,PC,App Generator,Y,N,9,1223,19316
D,1,Re-Development,Mid Range,3GL,Y,N,13,1254,4100
C,3,Re-Development,MF,3GL,N,N,2,418,15179
B,4,Enhacement,Mid Range,App Generator,N,N,4,1351,5990
A,3,Enhacement,MF,3GL,N,N,15,1204,4236
B,4,Re-Development,MF,3GL,N,Y,15,122,107
D,3,Enhacement,Multi,App Generator,N,N,0,544,9813
C,3,Re-Development,MF,4GL,Y,Y,20,16,13723
A,2,New Development,Multi,4GL,N,N,13,380,14129
A,4,Enhacement,Mid Range,4GL,N,N,8,211,8388
A,1,Enhacement,Multi,App Generator,Y,N,15,945,18025
A,2,Re-Development,PC,App Generator,Y,Y,9,1128,6484
B,4,Enhacement,Multi,App Generator,Y,Y,20,1396,6461
A,1,Re-Development,Multi,4GL,N,N,13,69,4224
B,1,Enhacement,Multi,App Generator,Y,N,20,168,5145
C,2,Re-Development,MF,4GL,N,Y,7,123,18175
B,4,Enhacement,PC,4GL,Y,Y,11,393,12131
A,3,Re-Development,PC,App Generator,N,Y,15,932,5210
A,4,Re-Development,MF,4GL,N,Y,20,243,11380
B,4,Re-Development,PC,4GL,N,N,7,754,18230
C,2,New Development,MF,4GL,Y,N,14,147,9902
A,3,New Development,Mid Range,3GL,N,N,8,851,3316
B,1,Re-Development,MF,4GL,Y,N,17,1482,14055
A,4,Enhacement,Multi,App Generator,Y,Y,16,216,1356
D,3,New Development,PC,3GL,N,Y,19,1469,6981
D,4,Re-Development,Multi,App Generator,N,N,7,227,12019
B,2,New Development,MF,3GL,Y,Y,6,909,4251
D,3,Enhacement,Mid Range,3GL,Y,N,1,707,6175
D,3,New Development,Mid Range,3GL,N,Y,9,470,16558
B,3,Enhacement,MF,App Generator,N,Y,12,154,16885
B,2,Re-Development,PC,App Generator,Y,Y,14,663,14879
D,2,New Development,PC,4GL,Y,N,14,310,4814
D,2,New Development,PC,App Generator,N,N,1,1098,12218
B,4,New Development,Mid Range,4GL,Y,Y,7,1106,34
A,2,Re-Development,MF,3GL,Y,N,10,227,7499
